"Statistic","Year","Region","UNIT","VALUE"
"Other Subsidies (Euro Million)","2014","Midland","Euro Million","-185"
"Other Subsidies (Euro Million)","2015","State","Euro Million","-2466"
"Other Subsidies (Euro Million)","2015","Northern and Western","Euro Million","-678"
"Other Subsidies (Euro Million)","2015","Border","Euro Million","-313"
"Other Subsidies (Euro Million)","2015","West","Euro Million","-365"
"Other Subsidies (Euro Million)","2015","Southern","Euro Million","-1128"
"Other Subsidies (Euro Million)","2015","Mid-West","Euro Million","-410"
"Other Subsidies (Euro Million)","2015","South-East","Euro Million","-259"
"Other Subsidies (Euro Million)","2015","South-West","Euro Million","-459"
"Other Subsidies (Euro Million)","2015","Eastern and Midland","Euro Million","-660"
"Other Subsidies (Euro Million)","2015","Dublin","Euro Million","-210"
"Other Subsidies (Euro Million)","2015","Dublin and Mid-East","Euro Million","-454"
"Other Subsidies (Euro Million)","2015","Mid-East","Euro Million","-244"
"Other Subsidies (Euro Million)","2015","Midland","Euro Million","-206"
"Other Subsidies (Euro Million)","2016","State","Euro Million","-2310"
"Other Subsidies (Euro Million)","2016","Northern and Western","Euro Million","-653"
"Other Subsidies (Euro Million)","2016","Border","Euro Million","-302"
"Other Subsidies (Euro Million)","2016","West","Euro Million","-351"
"Other Subsidies (Euro Million)","2016","Southern","Euro Million","-1002"
"Other Subsidies (Euro Million)","2016","Mid-West","Euro Million","-337"
"Other Subsidies (Euro Million)","2016","South-East","Euro Million","-241"
"Other Subsidies (Euro Million)","2016","South-West","Euro Million","-424"
"Other Subsidies (Euro Million)","2016","Eastern and Midland","Euro Million","-655"
"Other Subsidies (Euro Million)","2016","Dublin","Euro Million","-219"
"Other Subsidies (Euro Million)","2016","Dublin and Mid-East","Euro Million","-465"
"Other Subsidies (Euro Million)","2016","Mid-East","Euro Million","-246"
"Other Subsidies (Euro Million)","2016","Midland","Euro Million","-190"
"Other Subsidies (Euro Million)","2017","State","Euro Million","-2361"
"Other Subsidies (Euro Million)","2017","Northern and Western","Euro Million","-643"
"Other Subsidies (Euro Million)","2017","Border","Euro Million","-294"
"Other Subsidies (Euro Million)","2017","West","Euro Million","-349"
"Other Subsidies (Euro Million)","2017","Southern","Euro Million","-1198"
"Other Subsidies (Euro Million)","2017","Mid-West","Euro Million","-388"
"Other Subsidies (Euro Million)","2017","South-East","Euro Million","-225"
"Other Subsidies (Euro Million)","2017","South-West","Euro Million","-585"
"Other Subsidies (Euro Million)","2017","Eastern and Midland","Euro Million","-520"
"Other Subsidies (Euro Million)","2017","Dublin","Euro Million","-181"
"Other Subsidies (Euro Million)","2017","Dublin and Mid-East","Euro Million","-337"
"Other Subsidies (Euro Million)","2017","Mid-East","Euro Million","-155"
"Other Subsidies (Euro Million)","2017","Midland","Euro Million","-184"
"Other Subsidies (Euro Million)","2018","State","Euro Million","-2491"
"Other Subsidies (Euro Million)","2018","Northern and Western","Euro Million","-746"
"Other Subsidies (Euro Million)","2018","Border","Euro Million","-328"
"Other Subsidies (Euro Million)","2018","West","Euro Million","-418"
"Other Subsidies (Euro Million)","2018","Southern","Euro Million","-1041"
"Other Subsidies (Euro Million)","2018","Mid-West","Euro Million","-395"
"Other Subsidies (Euro Million)","2018","South-East","Euro Million","-231"
"Other Subsidies (Euro Million)","2018","South-West","Euro Million","-415"
"Other Subsidies (Euro Million)","2018","Eastern and Midland","Euro Million","-704"
"Other Subsidies (Euro Million)","2018","Dublin","Euro Million","-297"
"Other Subsidies (Euro Million)","2018","Dublin and Mid-East","Euro Million","-505"
"Other Subsidies (Euro Million)","2018","Mid-East","Euro Million","-208"
"Other Subsidies (Euro Million)","2018","Midland","Euro Million","-199"
"Other Subsidies (Euro Million)","2019","State","Euro Million","-2305"
"Other Subsidies (Euro Million)","2019","Northern and Western","Euro Million","-748"
"Other Subsidies (Euro Million)","2019","Border","Euro Million","-365"
"Other Subsidies (Euro Million)","2019","West","Euro Million","-382"
"Other Subsidies (Euro Million)","2019","Southern","Euro Million","-949"
"Other Subsidies (Euro Million)","2019","Mid-West","Euro Million","-363"
"Other Subsidies (Euro Million)","2019","South-East","Euro Million","-230"
"Other Subsidies (Euro Million)","2019","South-West","Euro Million","-357"
"Other Subsidies (Euro Million)","2019","Eastern and Midland","Euro Million","-609"
"Other Subsidies (Euro Million)","2019","Dublin","Euro Million","-234"
"Other Subsidies (Euro Million)","2019","Dublin and Mid-East","Euro Million","-419"
"Other Subsidies (Euro Million)","2019","Mid-East","Euro Million","-185"
"Other Subsidies (Euro Million)","2019","Midland","Euro Million","-189"
"Product Taxes (Euro Million)","2000","State","Euro Million","13416"
"Product Taxes (Euro Million)","2000","Northern and Western","Euro Million","1611"
"Product Taxes (Euro Million)","2000","Border","Euro Million","657"
"Product Taxes (Euro Million)","2000","West","Euro Million","955"
"Product Taxes (Euro Million)","2000","Southern","Euro Million","4363"
"Product Taxes (Euro Million)","2000","Mid-West","Euro Million","1376"
"Product Taxes (Euro Million)","2000","South-East","Euro Million","797"
"Product Taxes (Euro Million)","2000","South-West","Euro Million","2190"
"Product Taxes (Euro Million)","2000","Eastern and Midland","Euro Million","7442"
"Product Taxes (Euro Million)","2000","Dublin","Euro Million","5507"
"Product Taxes (Euro Million)","2000","Dublin and Mid-East","Euro Million","6961"
"Product Taxes (Euro Million)","2000","Mid-East","Euro Million","1454"
"Product Taxes (Euro Million)","2000","Midland","Euro Million","481"
"Product Taxes (Euro Million)","2001","State","Euro Million","13682"
"Product Taxes (Euro Million)","2001","Northern and Western","Euro Million","1616"
"Product Taxes (Euro Million)","2001","Border","Euro Million","660"
"Product Taxes (Euro Million)","2001","West","Euro Million","956"
"Product Taxes (Euro Million)","2001","Southern","Euro Million","4538"
"Product Taxes (Euro Million)","2001","Mid-West","Euro Million","1396"
"Product Taxes (Euro Million)","2001","South-East","Euro Million","816"
"Product Taxes (Euro Million)","2001","South-West","Euro Million","2327"
"Product Taxes (Euro Million)","2001","Eastern and Midland","Euro Million","7528"
"Product Taxes (Euro Million)","2001","Dublin","Euro Million","5491"
"Product Taxes (Euro Million)","2001","Dublin and Mid-East","Euro Million","7027"
"Product Taxes (Euro Million)","2001","Mid-East","Euro Million","1536"
"Product Taxes (Euro Million)","2001","Midland","Euro Million","500"
"Product Taxes (Euro Million)","2002","State","Euro Million","15070"
"Product Taxes (Euro Million)","2002","Northern and Western","Euro Million","1808"
"Product Taxes (Euro Million)","2002","Border","Euro Million","783"
"Product Taxes (Euro Million)","2002","West","Euro Million","1025"
"Product Taxes (Euro Million)","2002","Southern","Euro Million","5335"
"Product Taxes (Euro Million)","2002","Mid-West","Euro Million","1350"
"Product Taxes (Euro Million)","2002","South-East","Euro Million","932"
"Product Taxes (Euro Million)","2002","South-West","Euro Million","3053"
"Product Taxes (Euro Million)","2002","Eastern and Midland","Euro Million","7927"
"Product Taxes (Euro Million)","2002","Dublin","Euro Million","5631"
"Product Taxes (Euro Million)","2002","Dublin and Mid-East","Euro Million","7416"
"Product Taxes (Euro Million)","2002","Mid-East","Euro Million","1784"
"Product Taxes (Euro Million)","2002","Midland","Euro Million","511"
"Product Taxes (Euro Million)","2003","State","Euro Million","16422"
"Product Taxes (Euro Million)","2003","Northern and Western","Euro Million","1965"
"Product Taxes (Euro Million)","2003","Border","Euro Million","883"
"Product Taxes (Euro Million)","2003","West","Euro Million","1082"
"Product Taxes (Euro Million)","2003","Southern","Euro Million","5756"
"Product Taxes (Euro Million)","2003","Mid-West","Euro Million","1600"
"Product Taxes (Euro Million)","2003","South-East","Euro Million","1130"
"Product Taxes (Euro Million)","2003","South-West","Euro Million","3026"
"Product Taxes (Euro Million)","2003","Eastern and Midland","Euro Million","8701"
"Product Taxes (Euro Million)","2003","Dublin","Euro Million","6281"
"Product Taxes (Euro Million)","2003","Dublin and Mid-East","Euro Million","8067"
"Product Taxes (Euro Million)","2003","Mid-East","Euro Million","1786"
"Product Taxes (Euro Million)","2003","Midland","Euro Million","634"
"Product Taxes (Euro Million)","2004","State","Euro Million","18375"
"Product Taxes (Euro Million)","2004","Northern and Western","Euro Million","2280"
"Product Taxes (Euro Million)","2004","Border","Euro Million","967"
"Product Taxes (Euro Million)","2004","West","Euro Million","1313"
"Product Taxes (Euro Million)","2004","Southern","Euro Million","6046"
"Product Taxes (Euro Million)","2004","Mid-West","Euro Million","1762"
"Product Taxes (Euro Million)","2004","South-East","Euro Million","1198"
"Product Taxes (Euro Million)","2004","South-West","Euro Million","3087"
"Product Taxes (Euro Million)","2004","Eastern and Midland","Euro Million","10049"
"Product Taxes (Euro Million)","2004","Dublin","Euro Million","7221"
"Product Taxes (Euro Million)","2004","Dublin and Mid-East","Euro Million","9307"
"Product Taxes (Euro Million)","2004","Mid-East","Euro Million","2086"
"Product Taxes (Euro Million)","2004","Midland","Euro Million","742"
"Product Taxes (Euro Million)","2005","State","Euro Million","20648"
"Product Taxes (Euro Million)","2005","Northern and Western","Euro Million","2494"
"Product Taxes (Euro Million)","2005","Border","Euro Million","1060"
"Product Taxes (Euro Million)","2005","West","Euro Million","1434"
"Product Taxes (Euro Million)","2005","Southern","Euro Million","6612"
"Product Taxes (Euro Million)","2005","Mid-West","Euro Million","1860"
"Product Taxes (Euro Million)","2005","South-East","Euro Million","1304"
"Product Taxes (Euro Million)","2005","South-West","Euro Million","3448"
"Product Taxes (Euro Million)","2005","Eastern and Midland","Euro Million","11541"
"Product Taxes (Euro Million)","2005","Dublin","Euro Million","8444"
"Product Taxes (Euro Million)","2005","Dublin and Mid-East","Euro Million","10748"
"Product Taxes (Euro Million)","2005","Mid-East","Euro Million","2304"
"Product Taxes (Euro Million)","2005","Midland","Euro Million","793"
"Product Taxes (Euro Million)","2006","State","Euro Million","23429"
"Product Taxes (Euro Million)","2006","Northern and Western","Euro Million","2921"
"Product Taxes (Euro Million)","2006","Border","Euro Million","1268"
"Product Taxes (Euro Million)","2006","West","Euro Million","1653"
"Product Taxes (Euro Million)","2006","Southern","Euro Million","7505"
"Product Taxes (Euro Million)","2006","Mid-West","Euro Million","2056"
"Product Taxes (Euro Million)","2006","South-East","Euro Million","1535"
"Product Taxes (Euro Million)","2006","South-West","Euro Million","3914"
"Product Taxes (Euro Million)","2006","Eastern and Midland","Euro Million","13003"
"Product Taxes (Euro Million)","2006","Dublin","Euro Million","9260"
"Product Taxes (Euro Million)","2006","Dublin and Mid-East","Euro Million","12028"
"Product Taxes (Euro Million)","2006","Mid-East","Euro Million","2768"
"Product Taxes (Euro Million)","2006","Midland","Euro Million","976"
"Product Taxes (Euro Million)","2007","State","Euro Million","24055"
"Product Taxes (Euro Million)","2007","Northern and Western","Euro Million","2885"
"Product Taxes (Euro Million)","2007","Border","Euro Million","1231"
"Product Taxes (Euro Million)","2007","West","Euro Million","1653"
"Product Taxes (Euro Million)","2007","Southern","Euro Million","7836"
"Product Taxes (Euro Million)","2007","Mid-West","Euro Million","2145"
"Product Taxes (Euro Million)","2007","South-East","Euro Million","1601"
"Product Taxes (Euro Million)","2007","South-West","Euro Million","4090"
"Product Taxes (Euro Million)","2007","Eastern and Midland","Euro Million","13335"
"Product Taxes (Euro Million)","2007","Dublin","Euro Million","9523"
"Product Taxes (Euro Million)","2007","Dublin and Mid-East","Euro Million","12390"
"Product Taxes (Euro Million)","2007","Mid-East","Euro Million","2868"
"Product Taxes (Euro Million)","2007","Midland","Euro Million","944"
"Product Taxes (Euro Million)","2008","State","Euro Million","20610"
"Product Taxes (Euro Million)","2008","Northern and Western","Euro Million","2470"
"Product Taxes (Euro Million)","2008","Border","Euro Million","1042"
"Product Taxes (Euro Million)","2008","West","Euro Million","1427"
"Product Taxes (Euro Million)","2008","Southern","Euro Million","6571"
"Product Taxes (Euro Million)","2008","Mid-West","Euro Million","1807"
"Product Taxes (Euro Million)","2008","South-East","Euro Million","1391"
"Product Taxes (Euro Million)","2008","South-West","Euro Million","3374"
"Product Taxes (Euro Million)","2008","Eastern and Midland","Euro Million","11569"
"Product Taxes (Euro Million)","2008","Dublin","Euro Million","8393"
"Product Taxes (Euro Million)","2008","Dublin and Mid-East","Euro Million","10793"
"Product Taxes (Euro Million)","2008","Mid-East","Euro Million","2400"
"Product Taxes (Euro Million)","2008","Midland","Euro Million","776"
"Product Taxes (Euro Million)","2009","State","Euro Million","16499"
"Product Taxes (Euro Million)","2009","Northern and Western","Euro Million","1945"
"Product Taxes (Euro Million)","2009","Border","Euro Million","790"
"Product Taxes (Euro Million)","2009","West","Euro Million","1155"
"Product Taxes (Euro Million)","2009","Southern","Euro Million","5277"
"Product Taxes (Euro Million)","2009","Mid-West","Euro Million","1405"
"Product Taxes (Euro Million)","2009","South-East","Euro Million","991"
"Product Taxes (Euro Million)","2009","South-West","Euro Million","2881"
"Product Taxes (Euro Million)","2009","Eastern and Midland","Euro Million","9277"
"Product Taxes (Euro Million)","2009","Dublin","Euro Million","6716"
"Product Taxes (Euro Million)","2009","Dublin and Mid-East","Euro Million","8665"
"Product Taxes (Euro Million)","2009","Mid-East","Euro Million","1948"
"Product Taxes (Euro Million)","2009","Midland","Euro Million","612"
"Product Taxes (Euro Million)","2010","State","Euro Million","16309"
"Product Taxes (Euro Million)","2010","Northern and Western","Euro Million","1995"
"Product Taxes (Euro Million)","2010","Border","Euro Million","774"
"Product Taxes (Euro Million)","2010","West","Euro Million","1221"
"Product Taxes (Euro Million)","2010","Southern","Euro Million","5153"
"Product Taxes (Euro Million)","2010","Mid-West","Euro Million","1403"
"Product Taxes (Euro Million)","2010","South-East","Euro Million","944"
"Product Taxes (Euro Million)","2010","South-West","Euro Million","2805"
"Product Taxes (Euro Million)","2010","Eastern and Midland","Euro Million","9161"
"Product Taxes (Euro Million)","2010","Dublin","Euro Million","6909"
"Product Taxes (Euro Million)","2010","Dublin and Mid-East","Euro Million","8594"
"Product Taxes (Euro Million)","2010","Mid-East","Euro Million","1685"
"Product Taxes (Euro Million)","2010","Midland","Euro Million","567"
"Product Taxes (Euro Million)","2011","State","Euro Million","15945"
"Product Taxes (Euro Million)","2011","Northern and Western","Euro Million","2076"
"Product Taxes (Euro Million)","2011","Border","Euro Million","792"
"Product Taxes (Euro Million)","2011","West","Euro Million","1284"
"Product Taxes (Euro Million)","2011","Southern","Euro Million","5284"
"Product Taxes (Euro Million)","2011","Mid-West","Euro Million","1382"
"Product Taxes (Euro Million)","2011","South-East","Euro Million","909"
"Product Taxes (Euro Million)","2011","South-West","Euro Million","2993"
"Product Taxes (Euro Million)","2011","Eastern and Midland","Euro Million","8585"
"Product Taxes (Euro Million)","2011","Dublin","Euro Million","6562"
"Product Taxes (Euro Million)","2011","Dublin and Mid-East","Euro Million","8043"
"Product Taxes (Euro Million)","2011","Mid-East","Euro Million","1481"
"Product Taxes (Euro Million)","2011","Midland","Euro Million","542"
"Product Taxes (Euro Million)","2012","State","Euro Million","16341"
"Product Taxes (Euro Million)","2012","Northern and Western","Euro Million","2065"
"Product Taxes (Euro Million)","2012","Border","Euro Million","765"
"Product Taxes (Euro Million)","2012","West","Euro Million","1300"
"Product Taxes (Euro Million)","2012","Southern","Euro Million","5426"
"Product Taxes (Euro Million)","2012","Mid-West","Euro Million","1433"
"Product Taxes (Euro Million)","2012","South-East","Euro Million","936"
"Product Taxes (Euro Million)","2012","South-West","Euro Million","3057"
"Product Taxes (Euro Million)","2012","Eastern and Midland","Euro Million","8850"
"Product Taxes (Euro Million)","2012","Dublin","Euro Million","6808"
"Product Taxes (Euro Million)","2012","Dublin and Mid-East","Euro Million","8308"
"Product Taxes (Euro Million)","2012","Mid-East","Euro Million","1499"
"Product Taxes (Euro Million)","2012","Midland","Euro Million","543"
"Product Taxes (Euro Million)","2013","State","Euro Million","16996"
"Product Taxes (Euro Million)","2013","Northern and Western","Euro Million","1930"
"Product Taxes (Euro Million)","2013","Border","Euro Million","745"
"Product Taxes (Euro Million)","2013","West","Euro Million","1185"
"Product Taxes (Euro Million)","2013","Southern","Euro Million","5441"
"Product Taxes (Euro Million)","2013","Mid-West","Euro Million","1386"
"Product Taxes (Euro Million)","2013","South-East","Euro Million","1144"
"Product Taxes (Euro Million)","2013","South-West","Euro Million","2910"
"Product Taxes (Euro Million)","2013","Eastern and Midland","Euro Million","9626"
"Product Taxes (Euro Million)","2013","Dublin","Euro Million","7533"
"Product Taxes (Euro Million)","2013","Dublin and Mid-East","Euro Million","9113"
"Product Taxes (Euro Million)","2013","Mid-East","Euro Million","1579"
"Product Taxes (Euro Million)","2013","Midland","Euro Million","514"
"Product Taxes (Euro Million)","2014","State","Euro Million","18527"
"Product Taxes (Euro Million)","2014","Northern and Western","Euro Million","2051"
"Product Taxes (Euro Million)","2014","Border","Euro Million","750"
"Product Taxes (Euro Million)","2014","West","Euro Million","1300"
"Product Taxes (Euro Million)","2014","Southern","Euro Million","5754"
"Product Taxes (Euro Million)","2014","Mid-West","Euro Million","1325"
"Product Taxes (Euro Million)","2014","South-East","Euro Million","1125"
"Product Taxes (Euro Million)","2014","South-West","Euro Million","3304"
"Product Taxes (Euro Million)","2014","Eastern and Midland","Euro Million","10723"
"Product Taxes (Euro Million)","2014","Dublin","Euro Million","8451"
"Product Taxes (Euro Million)","2014","Dublin and Mid-East","Euro Million","10162"
"Product Taxes (Euro Million)","2014","Mid-East","Euro Million","1711"
"Product Taxes (Euro Million)","2014","Midland","Euro Million","561"
"Product Taxes (Euro Million)","2015","State","Euro Million","19653"
"Product Taxes (Euro Million)","2015","Northern and Western","Euro Million","1696"
"Product Taxes (Euro Million)","2015","Border","Euro Million","622"
"Product Taxes (Euro Million)","2015","West","Euro Million","1073"
"Product Taxes (Euro Million)","2015","Southern","Euro Million","8428"
"Product Taxes (Euro Million)","2015","Mid-West","Euro Million","1318"
"Product Taxes (Euro Million)","2015","South-East","Euro Million","1057"
"Product Taxes (Euro Million)","2015","South-West","Euro Million","6053"
"Product Taxes (Euro Million)","2015","Eastern and Midland","Euro Million","9529"
"Product Taxes (Euro Million)","2015","Dublin","Euro Million","7218"
"Product Taxes (Euro Million)","2015","Dublin and Mid-East","Euro Million","9005"
"Product Taxes (Euro Million)","2015","Mid-East","Euro Million","1787"
"Product Taxes (Euro Million)","2015","Midland","Euro Million","524"
"Product Taxes (Euro Million)","2016","State","Euro Million","20886"
"Product Taxes (Euro Million)","2016","Northern and Western","Euro Million","1708"
"Product Taxes (Euro Million)","2016","Border","Euro Million","623"
"Product Taxes (Euro Million)","2016","West","Euro Million","1086"
"Product Taxes (Euro Million)","2016","Southern","Euro Million","8117"
"Product Taxes (Euro Million)","2016","Mid-West","Euro Million","1492"
"Product Taxes (Euro Million)","2016","South-East","Euro Million","1104"
"Product Taxes (Euro Million)","2016","South-West","Euro Million","5522"
"Product Taxes (Euro Million)","2016","Eastern and Midland","Euro Million","11060"
"Product Taxes (Euro Million)","2016","Dublin","Euro Million","8473"
"Product Taxes (Euro Million)","2016","Dublin and Mid-East","Euro Million","10542"
"Product Taxes (Euro Million)","2016","Mid-East","Euro Million","2069"
"Product Taxes (Euro Million)","2016","Midland","Euro Million","518"
"Product Taxes (Euro Million)","2017","State","Euro Million","21727"
"Product Taxes (Euro Million)","2017","Northern and Western","Euro Million","1799"
"Product Taxes (Euro Million)","2017","Border","Euro Million","707"
"Product Taxes (Euro Million)","2017","West","Euro Million","1092"
"Product Taxes (Euro Million)","2017","Southern","Euro Million","8584"
"Product Taxes (Euro Million)","2017","Mid-West","Euro Million","1811"
"Product Taxes (Euro Million)","2017","South-East","Euro Million","1068"
"Product Taxes (Euro Million)","2017","South-West","Euro Million","5705"
"Product Taxes (Euro Million)","2017","Eastern and Midland","Euro Million","11344"
"Product Taxes (Euro Million)","2017","Dublin","Euro Million","8782"
"Product Taxes (Euro Million)","2017","Dublin and Mid-East","Euro Million","10828"
"Product Taxes (Euro Million)","2017","Mid-East","Euro Million","2046"
"Product Taxes (Euro Million)","2017","Midland","Euro Million","516"
"Product Taxes (Euro Million)","2018","State","Euro Million","22476"
"Product Taxes (Euro Million)","2018","Northern and Western","Euro Million","1749"
"Product Taxes (Euro Million)","2018","Border","Euro Million","668"
"Product Taxes (Euro Million)","2018","West","Euro Million","1082"
"Product Taxes (Euro Million)","2018","Southern","Euro Million","9195"
"Product Taxes (Euro Million)","2018","Mid-West","Euro Million","1986"
"Product Taxes (Euro Million)","2018","South-East","Euro Million","1336"
"Product Taxes (Euro Million)","2018","South-West","Euro Million","5873"
"Product Taxes (Euro Million)","2018","Eastern and Midland","Euro Million","11531"
"Product Taxes (Euro Million)","2018","Dublin","Euro Million","8979"
"Product Taxes (Euro Million)","2018","Dublin and Mid-East","Euro Million","11064"
"Product Taxes (Euro Million)","2018","Mid-East","Euro Million","2085"
"Product Taxes (Euro Million)","2018","Midland","Euro Million","466"
"Product Taxes (Euro Million)","2019","State","Euro Million","24256"
"Product Taxes (Euro Million)","2019","Northern and Western","Euro Million","1748"
"Product Taxes (Euro Million)","2019","Border","Euro Million","674"
"Product Taxes (Euro Million)","2019","West","Euro Million","1074"
"Product Taxes (Euro Million)","2019","Southern","Euro Million","10083"
"Product Taxes (Euro Million)","2019","Mid-West","Euro Million","2344"
"Product Taxes (Euro Million)","2019","South-East","Euro Million","1702"
"Product Taxes (Euro Million)","2019","South-West","Euro Million","6037"
"Product Taxes (Euro Million)","2019","Eastern and Midland","Euro Million","12425"
"Product Taxes (Euro Million)","2019","Dublin","Euro Million","9803"
"Product Taxes (Euro Million)","2019","Dublin and Mid-East","Euro Million","11987"
"Product Taxes (Euro Million)","2019","Mid-East","Euro Million","2184"
"Product Taxes (Euro Million)","2019","Midland","Euro Million","438"
"Product Subsidies (Euro Million)","2000","State","Euro Million","-1645"
"Product Subsidies (Euro Million)","2000","Northern and Western","Euro Million","-198"
"Product Subsidies (Euro Million)","2000","Border","Euro Million","-80"
"Product Subsidies (Euro Million)","2000","West","Euro Million","-117"
"Product Subsidies (Euro Million)","2000","Southern","Euro Million","-535"
"Product Subsidies (Euro Million)","2000","Mid-West","Euro Million","-169"
"Product Subsidies (Euro Million)","2000","South-East","Euro Million","-98"
"Product Subsidies (Euro Million)","2000","South-West","Euro Million","-268"
"Product Subsidies (Euro Million)","2000","Eastern and Midland","Euro Million","-912"
"Product Subsidies (Euro Million)","2000","Dublin","Euro Million","-675"
"Product Subsidies (Euro Million)","2000","Dublin and Mid-East","Euro Million","-853"
"Product Subsidies (Euro Million)","2000","Mid-East","Euro Million","-178"
"Product Subsidies (Euro Million)","2000","Midland","Euro Million","-59"
"Product Subsidies (Euro Million)","2001","State","Euro Million","-1428"
"Product Subsidies (Euro Million)","2001","Northern and Western","Euro Million","-169"
"Product Subsidies (Euro Million)","2001","Border","Euro Million","-69"
"Product Subsidies (Euro Million)","2001","West","Euro Million","-100"
"Product Subsidies (Euro Million)","2001","Southern","Euro Million","-474"
"Product Subsidies (Euro Million)","2001","Mid-West","Euro Million","-146"
"Product Subsidies (Euro Million)","2001","South-East","Euro Million","-85"
"Product Subsidies (Euro Million)","2001","South-West","Euro Million","-243"
"Product Subsidies (Euro Million)","2001","Eastern and Midland","Euro Million","-786"
"Product Subsidies (Euro Million)","2001","Dublin","Euro Million","-573"
"Product Subsidies (Euro Million)","2001","Dublin and Mid-East","Euro Million","-734"
"Product Subsidies (Euro Million)","2001","Mid-East","Euro Million","-160"
"Product Subsidies (Euro Million)","2001","Midland","Euro Million","-52"
"Product Subsidies (Euro Million)","2002","State","Euro Million","-1894"
"Product Subsidies (Euro Million)","2002","Northern and Western","Euro Million","-227"
"Product Subsidies (Euro Million)","2002","Border","Euro Million","-98"
"Product Subsidies (Euro Million)","2002","West","Euro Million","-129"
"Product Subsidies (Euro Million)","2002","Southern","Euro Million","-670"
"Product Subsidies (Euro Million)","2002","Mid-West","Euro Million","-170"
"Product Subsidies (Euro Million)","2002","South-East","Euro Million","-117"
"Product Subsidies (Euro Million)","2002","South-West","Euro Million","-384"
"Product Subsidies (Euro Million)","2002","Eastern and Midland","Euro Million","-996"
"Product Subsidies (Euro Million)","2002","Dublin","Euro Million","-708"
"Product Subsidies (Euro Million)","2002","Dublin and Mid-East","Euro Million","-932"
"Product Subsidies (Euro Million)","2002","Mid-East","Euro Million","-224"
"Product Subsidies (Euro Million)","2002","Midland","Euro Million","-64"
"Product Subsidies (Euro Million)","2003","State","Euro Million","-1891"
"Product Subsidies (Euro Million)","2003","Northern and Western","Euro Million","-226"
"Product Subsidies (Euro Million)","2003","Border","Euro Million","-102"
"Product Subsidies (Euro Million)","2003","West","Euro Million","-125"
"Product Subsidies (Euro Million)","2003","Southern","Euro Million","-663"
"Product Subsidies (Euro Million)","2003","Mid-West","Euro Million","-184"
"Product Subsidies (Euro Million)","2003","South-East","Euro Million","-130"
"Product Subsidies (Euro Million)","2003","South-West","Euro Million","-349"
"Product Subsidies (Euro Million)","2003","Eastern and Midland","Euro Million","-1002"
"Product Subsidies (Euro Million)","2003","Dublin","Euro Million","-723"
"Product Subsidies (Euro Million)","2003","Dublin and Mid-East","Euro Million","-929"
"Product Subsidies (Euro Million)","2003","Mid-East","Euro Million","-206"
"Product Subsidies (Euro Million)","2003","Midland","Euro Million","-73"
"Product Subsidies (Euro Million)","2004","State","Euro Million","-1908"
"Product Subsidies (Euro Million)","2004","Northern and Western","Euro Million","-237"
"Product Subsidies (Euro Million)","2004","Border","Euro Million","-100"
"Product Subsidies (Euro Million)","2004","West","Euro Million","-136"
"Product Subsidies (Euro Million)","2004","Southern","Euro Million","-628"
"Product Subsidies (Euro Million)","2004","Mid-West","Euro Million","-183"
"Product Subsidies (Euro Million)","2004","South-East","Euro Million","-124"
"Product Subsidies (Euro Million)","2004","South-West","Euro Million","-320"
"Product Subsidies (Euro Million)","2004","Eastern and Midland","Euro Million","-1043"
"Product Subsidies (Euro Million)","2004","Dublin","Euro Million","-750"
"Product Subsidies (Euro Million)","2004","Dublin and Mid-East","Euro Million","-966"
"Product Subsidies (Euro Million)","2004","Mid-East","Euro Million","-217"
"Product Subsidies (Euro Million)","2004","Midland","Euro Million","-77"
"Product Subsidies (Euro Million)","2005","State","Euro Million","-1365"
"Product Subsidies (Euro Million)","2005","Northern and Western","Euro Million","-165"
"Product Subsidies (Euro Million)","2005","Border","Euro Million","-70"
"Product Subsidies (Euro Million)","2005","West","Euro Million","-95"
"Product Subsidies (Euro Million)","2005","Southern","Euro Million","-437"
"Product Subsidies (Euro Million)","2005","Mid-West","Euro Million","-123"
"Product Subsidies (Euro Million)","2005","South-East","Euro Million","-86"
"Product Subsidies (Euro Million)","2005","South-West","Euro Million","-228"
"Product Subsidies (Euro Million)","2005","Eastern and Midland","Euro Million","-763"
"Product Subsidies (Euro Million)","2005","Dublin","Euro Million","-558"
"Product Subsidies (Euro Million)","2005","Dublin and Mid-East","Euro Million","-710"
"Product Subsidies (Euro Million)","2005","Mid-East","Euro Million","-152"
"Product Subsidies (Euro Million)","2005","Midland","Euro Million","-52"
"Product Subsidies (Euro Million)","2006","State","Euro Million","-1067"
"Product Subsidies (Euro Million)","2006","Northern and Western","Euro Million","-133"
"Product Subsidies (Euro Million)","2006","Border","Euro Million","-58"
"Product Subsidies (Euro Million)","2006","West","Euro Million","-75"
"Product Subsidies (Euro Million)","2006","Southern","Euro Million","-342"
"Product Subsidies (Euro Million)","2006","Mid-West","Euro Million","-94"
"Product Subsidies (Euro Million)","2006","South-East","Euro Million","-70"
"Product Subsidies (Euro Million)","2006","South-West","Euro Million","-178"
"Product Subsidies (Euro Million)","2006","Eastern and Midland","Euro Million","-592"
"Product Subsidies (Euro Million)","2006","Dublin","Euro Million","-422"
"Product Subsidies (Euro Million)","2006","Dublin and Mid-East","Euro Million","-548"
"Product Subsidies (Euro Million)","2006","Mid-East","Euro Million","-126"
"Product Subsidies (Euro Million)","2006","Midland","Euro Million","-44"
